log_price,price,review_scores_rating,has_availability,property_type,instant_bookable,number_of_reviews_ltm,availability_60,review_scores_checkin,room_type,neighbourhood_cleansed,accommodates,review_scores_cleanliness,beds,host_response_time,host_is_superhost,bedrooms,latitude,minimum_nights,reviews_per_month,availability_90,bathrooms_text,availability_365
5.41610040220442,225.0,72.0,True,5,False,0,59,10.0,0,129,4,6.0,3.0,2,False,2.0,43.76292,30,0.23,89,7,89
4.976733742420574,145.0,100.0,True,5,False,0,53,10.0,0,122,3,10.0,1.0,2,False,1.0,43.64615,30,0.04,83,2,358
4.23410650459726,69.0,91.0,True,5,False,0,60,10.0,0,35,3,9.0,1.0,4,True,1.0,43.68672,28,0.36,90,2,365
4.941642422609304,140.0,94.0,True,5,False,11,60,10.0,0,79,5,9.0,3.0,4,True,3.0,43.66135,28,2.36,90,5,365
5.099866427824199,164.0,98.0,True,15,False,0,50,10.0,0,62,2,10.0,1.0,0,False,1.0,43.65391,28,1.04,80,2,355
5.365976015021851,214.0,97.0,True,14,False,2,0,10.0,0,109,9,9.0,5.0,1,True,5.0,43.64134,28,3.15,0,7,73
4.941642422609304,140.0,98.0,True,14,False,0,0,10.0,0,56,4,9.0,2.0,1,True,2.0,43.68657,30,0.09,0,2,0
3.4011973816621555,30.0,98.0,True,36,False,1,0,10.0,2,133,1,10.0,1.0,1,True,1.0,43.67549,30,0.23,0,4,99
5.703782474656201,300.0,97.0,True,8,True,0,50,10.0,0,23,3,10.0,1.0,4,False,1.0,43.65463,28,0.07,50,7,212
4.007333185232471,55.0,95.0,True,21,False,0,60,10.0,2,18,2,9.0,1.0,1,True,1.0,43.7054,28,0.31,90,4,365
5.293304824724492,199.0,99.0,True,15,False,3,40,10.0,0,87,2,10.0,1.0,4,True,1.0,43.64322,28,0.58,70,2,159
4.74493212836325,115.0,97.0,True,11,False,0,0,10.0,0,92,2,10.0,1.0,1,True,1.0,43.6879,60,0.93,10,2,132
4.927253685157205,138.0,98.0,True,5,False,1,45,10.0,0,71,4,9.0,2.0,3,True,2.0,43.64731,28,1.12,75,7,129
5.41610040220442,225.0,99.0,True,14,False,0,0,10.0,0,119,5,10.0,3.0,2,False,3.0,43.65131,90,0.73,9,2,283
4.90527477843843,135.0,97.0,True,15,False,23,19,10.0,0,32,2,10.0,1.0,2,True,1.0,43.66067,3,0.83,49,2,318
4.68213122712422,108.0,76.0,True,5,False,0,60,9.0,0,129,2,10.0,1.0,3,False,1.0,43.76651,28,0.06,90,2,180
5.68697535633982,295.0,95.0,True,14,False,0,51,10.0,0,94,7,9.0,5.0,2,False,4.0,43.65836,28,0.17,60,7,335
5.420534999272286,226.0,97.0,True,8,False,2,9,10.0,0,122,5,10.0,1.0,4,True,1.0,43.63927,2,1.4,39,2,313
5.003946305945459,149.0,99.0,True,5,False,0,58,10.0,0,79,2,10.0,1.0,1,False,1.0,43.65263,28,0.38,88,2,88
5.293304824724492,199.0,94.0,True,5,False,0,0,10.0,0,122,2,7.0,2.0,1,False,2.0,43.63942,28,0.12,0,2,0
4.499809670330265,90.0,100.0,True,5,False,0,0,10.0,0,94,6,10.0,3.0,1,False,2.0,43.66051,28,0.03,0,2,0
4.442651256490317,85.0,100.0,True,5,False,0,0,9.0,0,23,2,8.0,1.0,4,False,1.0,43.65487,30,0.03,19,2,19
4.59511985013459,99.0,87.0,True,5,False,1,1,10.0,0,35,7,9.0,3.0,4,True,3.0,43.68519,28,0.29,1,2,1
4.59511985013459,99.0,97.0,True,8,False,0,60,10.0,0,122,2,10.0,1.0,4,False,1.0,43.64278,28,0.78,90,2,365
4.867534450455582,130.0,97.0,True,8,False,0,0,9.0,0,87,2,9.0,1.0,1,False,2.0,43.63987,28,0.12,0,2,0
4.74493212836325,115.0,97.0,True,14,False,0,0,10.0,0,110,3,10.0,2.0,1,False,2.0,43.66114,28,0.07,0,5,0
4.262679877041316,71.0,93.0,True,36,False,0,59,10.0,2,133,2,10.0,1.0,1,False,1.0,43.67774,28,0.38,89,5,364
4.406719247264253,82.0,100.0,True,21,False,0,0,10.0,2,32,2,9.0,1.0,1,True,1.0,43.66377,29,0.09,0,6,0
3.4339872044851463,31.0,100.0,True,36,False,0,0,10.0,2,133,1,10.0,1.0,1,True,1.0,43.67639,30,0.2,0,4,254
3.49650756146648,33.0,98.0,True,36,False,0,0,10.0,2,133,1,10.0,1.0,1,True,1.0,43.67739,28,0.1,0,4,99
4.553876891600541,95.0,84.0,True,5,False,0,0,10.0,0,109,5,9.0,3.0,1,False,3.0,43.63907,28,0.14,0,11,0
4.499809670330265,90.0,94.0,True,8,False,0,49,9.0,0,122,2,9.0,0.0,4,False,1.0,43.64356,28,0.75,78,2,302
4.787491742782046,120.0,95.0,True,11,False,0,40,10.0,0,59,2,10.0,1.0,1,False,1.0,43.66308,28,0.06,70,2,345
5.66988092298052,290.0,99.0,True,14,False,1,59,10.0,0,78,8,10.0,5.0,1,False,4.0,43.7837,28,0.15,89,5,364
4.442651256490317,85.0,96.0,True,5,False,0,0,10.0,0,62,2,10.0,1.0,1,False,1.0,43.65667,28,0.28,0,2,0
4.23410650459726,69.0,91.0,True,5,False,0,60,10.0,0,35,3,9.0,1.0,4,True,1.0,43.68614,28,0.47,90,2,365
4.174387269895637,65.0,96.0,True,36,False,0,2,10.0,2,83,1,10.0,1.0,1,False,1.0,43.70314,28,0.95,10,3,10
4.605170185988092,100.0,100.0,True,15,True,0,0,10.0,0,49,2,10.0,1.0,1,False,1.0,43.65873,28,0.16,0,2,0
