log_price,price,availability_365,review_scores_cleanliness,bathrooms_text,instant_bookable,maximum_nights,reviews_per_month,host_response_time,latitude,bedrooms,accommodates,availability_30,longitude,availability_60,review_scores_checkin,host_is_superhost,minimum_nights,availability_90,neighbourhood_cleansed,beds,room_type,property_type,number_of_reviews_ltm,has_availability,review_scores_rating,review_scores_value,review_scores_accuracy
4.0943445622221,60.0,234,10.0,4,False,1125,7.52,1,43.65612,1.0,2,0,-79.36054,0,10.0,True,28,11,79,1.0,2,42,12,True,97.0,10.0,10.0
5.857933154483459,350.0,285,10.0,7,False,7,0.14,1,43.64431,3.0,6,0,-79.44614,0,10.0,False,3,10,103,3.0,0,14,0,True,97.0,10.0,10.0
4.007333185232471,55.0,365,10.0,2,False,400,0.07,3,43.66075,1.0,1,30,-79.4096,60,10.0,True,30,90,94,1.0,0,5,1,True,93.0,9.0,10.0
4.418840607796598,83.0,365,9.0,3,False,1000,0.03,3,43.67176,1.0,2,30,-79.38555,60,10.0,True,28,90,104,1.0,2,21,0,True,100.0,10.0,10.0
5.288267030694535,198.0,316,9.0,2,False,1125,0.63,4,43.66429,1.0,2,27,-79.383,57,10.0,True,4,63,23,1.0,0,15,0,True,92.0,9.0,9.0
5.043425116919247,155.0,88,10.0,2,False,1125,0.18,2,43.76127,1.0,2,28,-79.40824,58,10.0,False,30,88,129,1.0,0,8,0,True,100.0,10.0,10.0
5.1647859739235145,175.0,178,10.0,2,False,365,0.05,2,43.64411,1.0,2,28,-79.39142,58,10.0,False,30,88,122,1.0,0,8,0,True,100.0,10.0,10.0
5.41610040220442,225.0,89,6.0,7,False,1125,0.23,2,43.76292,2.0,4,29,-79.40878,59,10.0,False,30,89,129,3.0,0,5,0,True,72.0,8.0,7.0
4.976733742420574,145.0,358,10.0,2,False,1125,0.04,2,43.64615,1.0,3,23,-79.39275,53,10.0,False,30,83,122,1.0,0,5,0,True,100.0,8.0,10.0
4.23410650459726,69.0,365,9.0,2,False,1125,0.36,4,43.68672,1.0,3,30,-79.29328,60,10.0,True,28,90,35,1.0,0,5,0,True,91.0,9.0,9.0
4.941642422609304,140.0,365,9.0,5,False,180,2.36,4,43.66135,3.0,5,30,-79.37562,60,10.0,True,28,90,79,3.0,0,5,11,True,94.0,9.0,10.0
5.099866427824199,164.0,355,10.0,2,False,60,1.04,0,43.65391,1.0,2,20,-79.40025,50,10.0,False,28,80,62,1.0,0,15,0,True,98.0,10.0,10.0
5.365976015021851,214.0,73,9.0,7,False,300,3.15,1,43.64134,5.0,9,0,-79.43027,0,10.0,True,28,0,109,5.0,0,14,2,True,97.0,10.0,10.0
4.941642422609304,140.0,0,9.0,2,False,365,0.09,1,43.68657,2.0,4,0,-79.42246,0,10.0,True,30,0,56,2.0,0,14,0,True,98.0,10.0,10.0
3.4011973816621555,30.0,99,10.0,4,False,1125,0.23,1,43.67549,1.0,1,0,-79.3104,0,10.0,True,30,0,133,1.0,2,36,1,True,98.0,10.0,10.0
5.703782474656201,300.0,212,10.0,7,True,365,0.07,4,43.65463,1.0,3,30,-79.38007,50,10.0,False,28,50,23,1.0,0,8,0,True,97.0,8.0,10.0
4.007333185232471,55.0,365,9.0,4,False,1125,0.31,1,43.7054,1.0,2,30,-79.48584,60,10.0,True,28,90,18,1.0,2,21,0,True,95.0,9.0,10.0
5.293304824724492,199.0,159,10.0,2,False,120,0.58,4,43.64322,1.0,2,10,-79.40293,40,10.0,True,28,70,87,1.0,0,15,3,True,99.0,10.0,10.0
4.74493212836325,115.0,132,10.0,2,False,180,0.93,1,43.6879,1.0,2,0,-79.43938,0,10.0,True,60,10,92,1.0,0,11,0,True,97.0,10.0,10.0
4.927253685157205,138.0,129,9.0,7,False,180,1.12,3,43.64731,2.0,4,15,-79.43029,45,10.0,True,28,75,71,2.0,0,5,1,True,98.0,10.0,10.0
5.41610040220442,225.0,283,10.0,2,False,1124,0.73,2,43.65131,3.0,5,0,-79.4116,0,10.0,False,90,9,119,3.0,0,14,0,True,99.0,10.0,10.0
4.90527477843843,135.0,318,10.0,2,False,1125,0.83,2,43.66067,1.0,2,7,-79.44477,19,10.0,True,3,49,32,1.0,0,15,23,True,97.0,10.0,10.0
4.68213122712422,108.0,180,10.0,2,False,180,0.06,3,43.76651,1.0,2,30,-79.40411,60,9.0,False,28,90,129,1.0,0,5,0,True,76.0,8.0,9.0
5.68697535633982,295.0,335,9.0,7,False,1125,0.17,2,43.65836,4.0,7,30,-79.42479,51,10.0,False,28,60,94,5.0,0,14,0,True,95.0,9.0,10.0
5.420534999272286,226.0,313,10.0,2,False,1125,1.4,4,43.63927,1.0,5,0,-79.38206,9,10.0,True,2,39,122,1.0,0,8,2,True,97.0,10.0,10.0
5.003946305945459,149.0,88,10.0,2,False,30,0.38,1,43.65263,1.0,2,28,-79.3723,58,10.0,False,28,88,79,1.0,0,5,0,True,99.0,10.0,10.0
5.293304824724492,199.0,0,7.0,2,False,31,0.12,1,43.63942,2.0,2,0,-79.39216,0,10.0,False,28,0,122,2.0,0,5,0,True,94.0,9.0,10.0
4.499809670330265,90.0,0,10.0,2,False,1125,0.03,1,43.66051,2.0,6,0,-79.42741,0,10.0,False,28,0,94,3.0,0,5,0,True,100.0,9.0,10.0
4.442651256490317,85.0,19,8.0,2,False,730,0.03,4,43.65487,1.0,2,0,-79.37942,0,9.0,False,30,19,23,1.0,0,5,0,True,100.0,9.0,10.0
4.59511985013459,99.0,1,9.0,2,False,1125,0.29,4,43.68519,3.0,7,1,-79.29338,1,10.0,True,28,1,35,3.0,0,5,1,True,87.0,9.0,10.0
4.59511985013459,99.0,365,10.0,2,False,1125,0.78,4,43.64278,1.0,2,30,-79.37985,60,10.0,False,28,90,122,1.0,0,8,0,True,97.0,9.0,10.0
4.867534450455582,130.0,0,9.0,2,False,30,0.12,1,43.63987,2.0,2,0,-79.42034,0,9.0,False,28,0,87,1.0,0,8,0,True,97.0,10.0,10.0
4.74493212836325,115.0,0,10.0,5,False,30,0.07,1,43.66114,2.0,3,0,-79.34742,0,10.0,False,28,0,110,2.0,0,14,0,True,97.0,10.0,10.0
4.2626798770413155,71.0,364,10.0,5,False,30,0.38,1,43.67774,1.0,2,29,-79.31352,59,10.0,False,28,89,133,1.0,2,36,0,True,93.0,9.0,9.0
4.406719247264253,82.0,0,9.0,6,False,31,0.09,1,43.66377,1.0,2,0,-79.42463,0,10.0,True,29,0,32,1.0,2,21,0,True,100.0,9.0,10.0
3.4339872044851463,31.0,254,10.0,4,False,1125,0.2,1,43.67639,1.0,1,0,-79.31017,0,10.0,True,30,0,133,1.0,2,36,0,True,100.0,10.0,10.0
3.4965075614664802,33.0,99,10.0,4,False,1125,0.1,1,43.67739,1.0,1,0,-79.31034,0,10.0,True,28,0,133,1.0,2,36,0,True,98.0,10.0,10.0
4.553876891600541,95.0,0,9.0,11,False,60,0.14,1,43.63907,3.0,5,0,-79.44036,0,10.0,False,28,0,109,3.0,0,5,0,True,84.0,9.0,9.0
4.499809670330265,90.0,302,9.0,2,False,60,0.75,4,43.64356,1.0,2,24,-79.3903,49,9.0,False,28,78,122,0.0,0,8,0,True,94.0,9.0,10.0
4.787491742782046,120.0,345,10.0,2,False,1125,0.06,1,43.66308,1.0,2,10,-79.47795,40,10.0,False,28,70,59,1.0,0,11,0,True,95.0,10.0,10.0
5.66988092298052,290.0,364,10.0,5,False,35,0.15,1,43.7837,4.0,8,29,-79.20675,59,10.0,False,28,89,78,5.0,0,14,1,True,99.0,10.0,10.0
4.442651256490317,85.0,0,10.0,2,False,365,0.28,1,43.65667,1.0,2,0,-79.39539,0,10.0,False,28,0,62,1.0,0,5,0,True,96.0,9.0,10.0
4.23410650459726,69.0,365,9.0,2,False,1125,0.47,4,43.68614,1.0,3,30,-79.29126,60,10.0,True,28,90,35,1.0,0,5,0,True,91.0,9.0,9.0
4.174387269895637,65.0,10,10.0,3,False,90,0.95,1,43.70314,1.0,1,0,-79.39612,2,10.0,False,28,10,83,1.0,2,36,0,True,96.0,10.0,10.0
